t,x,y,theta,distance,bearing,half_width,turn,forward,reward,dopamine_depression,DNa02_L,DNa02_R,LC4_L,LC4_R,bearing0,seed,graph,side
0.05,0.0,0.0,0.0,25.0,35.0,5.739170477266787,0.24754469096660614,0.42685750126838684,0.04393693362340741,1.1324882507324219e-06,0.0,0.08251489698886871,0.0008402534876950085,0.1782505214214325,35.0,0,malecns,right
0.1,0.02100464515388012,0.047851506154984236,0.038550376892089844,25.01029299867579,37.32617151292544,5.7368005922791685,0.2449251338839531,0.42844176292419434,0.043880439624541245,2.0265579223632812e-06,0.0,0.08164171129465103,0.000518771237693727,0.18435707688331604,35.0,0,malecns,right
0.15000000000000002,0.22336394526064396,0.08511261222884059,-0.0986180305480957,24.8666365524231,29.805447349122574,5.770054693699928,0.247208833694458,0.4257640838623047,0.04467552041691302,3.0994415283203125e-06,0.0,0.08240294456481934,0.00474789971485734,0.17519764602184296,35.0,0,malecns,right
0.2,0.49842130579054356,0.18502896605059505,-0.1432250738143921,24.701719184846606,27.808527588800246,5.808709690257642,0.1820576973259449,0.41828271746635437,0.04560604989592617,3.4570693969726562e-06,0.0,0.0606858991086483,0.00474789971485734,0.12727665901184082,35.0,0,malecns,right
0.25,0.7772364560514688,-0.10316605539992452,-0.21992838382720947,24.306836841301326,23.250705304540787,5.903409071693318,0.1869412176311016,0.41841116547584534,0.04791366156222181,4.112720489501953e-06,0.0,0.0623137392103672,0.010520372539758682,0.12489762902259827,35.0,0,malecns,right
0.3,0.9314689580351114,-0.03797407681122422,-0.3407456874847412,24.220431243258812,16.667074613000835,5.924544537315085,0.1890685111284256,0.42479437589645386,0.04843396741053903,5.543231964111328e-06,0.01738613471388817,0.080408975481987,0.02880050055682659,0.15475749969482422,35.0,0,malecns,right
0.35,1.2251751963049173,-0.18861522199586034,-0.35604190826416016,23.894499979841488,15.914991081255238,6.005653118920538,0.1890685111284256,0.42479437589645386,0.05044798379102217,6.9141387939453125e-06,0.01738613471388817,0.080408975481987,0.02880050055682659,0.15475749969482422,35.0,0,malecns,right
0.39999999999999997,1.4275117460638285,-0.3730465364642441,-0.4964967966079712,23.622255609972314,7.797706299149866,6.075126782492018,0.11866897344589233,0.43343254923820496,0.052194301785648226,8.52346420288086e-06,0.031799376010894775,0.07135570049285889,0.055115342140197754,0.13342499732971191,35.0,0,malecns,right
0.44999999999999996,1.7296435181051493,-0.42011161567643285,-0.503874659538269,23.351184190797028,7.72015308007397,6.145919835736312,0.11866897344589233,0.43343254923820496,0.053993153696720114,1.0192394256591797e-05,0.031799376010894775,0.07135570049285889,0.055115342140197754,0.13342499732971191,35.0,0,malecns,right
0.49999999999999994,1.9336408916860819,-0.7216043365187943,-0.5809416174888611,23.007990422012426,3.0045267090195864,6.23795536451069,0.08135325461626053,0.43425726890563965,0.05635981903960839,1.1861324310302734e-05,0.03812333941459656,0.06524109095335007,0.06723304837942123,0.12016253173351288,35.0,0,malecns,right
0.5499999999999999,2.128620559349656,-0.8214244735427201,-0.6528664231300354,22.791776661830692,-1.0286134629796777,6.297369913686915,0.03516925871372223,0.434687077999115,0.05790381062133523,1.3530254364013672e-05,0.04546203091740608,0.05718511715531349,0.08385031670331955,0.10609377175569534,35.0,0,malecns,right
0.6,2.3704239670187235,-1.0297742378897965,-0.613652229309082,22.47353445639872,1.1561614272414715,6.3869140103438635,0.03516925871372223,0.434687077999115,0.0602536693103109,1.537799835205078e-05,0.04546203091740608,0.05718511715531349,0.08385031670331955,0.10609377175569534,35.0,0,malecns,right
0.65,2.5676612202078104,-1.291516233701259,-0.6974689364433289,22.15979439219007,-3.889463147443223,6.477724943169491,0.0006493963301181793,0.43306276202201843,0.06266361523754384,1.71661376953125e-05,0.048218198120594025,0.04843466356396675,0.09668565541505814,0.089420385658741,35.0,0,malecns,right
0.7000000000000001,2.904827767983079,-1.3895615828223526,-0.659122109413147,21.82986799074343,-1.3792831605998686,6.576055142309673,0.03516925871372223,0.434687077999115,0.06530194230273617,1.901388168334961e-05,0.04546203091740608,0.05718511715531349,0.08385031670331955,0.10609377175569534,35.0,0,malecns,right
0.7500000000000001,3.0505625549703836,-1.667104531545192,-0.6939219832420349,21.548337475376037,-3.7373974708668527,6.662358541188716,0.0006493963301181793,0.43306276202201843,0.06764091791686078,2.09808349609375e-05,0.048218198120594025,0.04843466356396675,0.09668565541505814,0.089420385658741,35.0,0,malecns,right
0.8000000000000002,3.2805778328329325,-1.7930244696326554,-0.738929808139801,21.28827603344521,-6.226193973704881,6.744122778933173,-0.020255886018276215,0.4397668242454529,0.0698758974331828,2.4259090423583984e-05,0.0654044821858406,0.058652520179748535,0.12927491962909698,0.10226629674434662,35.0,0,malecns,right
0.8500000000000002,3.49813430942595,-1.9883903753943741,-0.6672329306602478,20.99739872255338,-2.1990693658679845,6.83799223643292,0.023104000836610794,0.4418365955352783,0.07246331535242798,2.855062484741211e-05,0.06085221841931343,0.06855355203151703,0.11345382779836655,0.12157298624515533,35.0,0,malecns,right
0.9000000000000002,3.716383868828416,-2.2719896328635514,-0.7355768084526062,20.65432855176939,-6.394979290404962,6.95212792366784,-0.020255886018276215,0.4397668242454529,0.07563840902166645,3.2007694244384766e-05,0.0654044821858406,0.058652520179748535,0.12927491962909698,0.10226629674434662,35.0,0,malecns,right
0.9500000000000003,4.082389051094651,-2.3895061505027115,-0.6840989589691162,20.288976121189954,-3.110961818139515,7.077952889303257,0.0006493963301181793,0.43306276202201843,0.0791728362883487,3.427267074584961e-05,0.048218198120594025,0.04843466356396675,0.09668565541505814,0.089420385658741,35.0,0,malecns,right
1.0000000000000002,4.221364671364427,-2.654923249501735,-0.7000704407691956,20.02077649157935,-4.405656195817215,7.173264776627915,0.0006493963301181793,0.43306276202201843,0.08187209541957773,3.6597251892089844e-05,0.048218198120594025,0.04843466356396675,0.09668565541505814,0.089420385658741,35.0,0,malecns,right
1.0500000000000003,4.476116830483079,-2.8029389870353043,-0.7338225245475769,19.72754643796819,-6.256777563539799,7.280461393430571,-0.020255886018276215,0.4397668242454529,0.0849286909367942,4.0531158447265625e-05,0.0654044821858406,0.058652520179748535,0.12927491962909698,0.10226629674434662,35.0,0,malecns,right
1.1000000000000003,4.69986074604094,-3.0128820431418717,-0.6608850359916687,19.42331627363987,-2.1941664940090106,7.395128767604058,0.023104000836610794,0.4418365955352783,0.08822062196204618,4.565715789794922e-05,0.06085221841931343,0.06855355203151703,0.11345382779836655,0.12157298624515533,35.0,0,malecns,right
1.1500000000000004,4.911597425118089,-3.278911639470607,-0.7247035503387451,19.09639951840412,-6.128658375169067,7.522454288633164,-0.020255886018276215,0.4397668242454529,0.09190039607330973,4.988908767700195e-05,0.0654044821858406,0.058652520179748535,0.12927491962909698,0.10226629674434662,35.0,0,malecns,right
1.2000000000000004,5.265923196449876,-3.3979270947165787,-0.678706169128418,18.738935999182853,-3.1623623898414337,7.666806862471571,0.023104000836610794,0.4418365955352783,0.09609990035473369,5.543231964111328e-05,0.06085221841931343,0.06855355203151703,0.11345382779836655,0.12157298624515533,35.0,0,malecns,right
1.2500000000000004,5.422139817848802,-3.672921468038112,-0.7005842328071594,18.452020110881346,-4.82587453870849,7.786753940741943,0.0006493963301181793,0.43306276202201843,0.09960902422172252,5.829334259033203e-05,0.048218198120594025,0.04843466356396675,0.09668565541505814,0.089420385658741,35.0,0,malecns,right
1.3000000000000005,5.659454995766282,-3.81737094046548,-0.7365515828132629,18.174882235269855,-6.825763232799488,7.906243062722347,-0.020255886018276215,0.4397668242454529,0.10312016921412667,6.306171417236328e-05,0.0654044821858406,0.058652520179748535,0.12927491962909698,0.10226629674434662,35.0,0,malecns,right
1.3500000000000005,5.88665216602385,-4.015188266057521,-0.6648173928260803,17.87513311554954,-2.8110984919169084,8.039692959635426,0.023104000836610794,0.4418365955352783,0.10705723944779894,6.92605972290039e-05,0.06085221841931343,0.06855355203151703,0.11345382779836655,0.12157298624515533,35.0,0,malecns,right
1.4000000000000006,6.0935780350118876,-4.3018360626883805,-0.7387076616287231,17.54102481692961,-7.4186584217556515,8.193869514440014,-0.020255886018276215,0.4397668242454529,0.11162300613514015,7.444620132446289e-05,0.0654044821858406,0.058652520179748535,0.12927491962909698,0.10226629674434662,35.0,0,malecns,right
1.4500000000000006,6.445778066292405,-4.40887599112466,-0.6893656849861145,17.191313487282898,-4.212430491793498,8.361733235181331,0.0006493963301181793,0.43306276202201843,0.11661070660504583,7.784366607666016e-05,0.048218198120594025,0.04843466356396675,0.09668565541505814,0.089420385658741,35.0,0,malecns,right
1.5000000000000007,6.588018113747239,-4.680164386052638,-0.7098453044891357,16.919068992076117,-5.857511839077148,8.497268885577425,-0.020255886018276215,0.4397668242454529,0.12064732918863795,8.33272933959961e-05,0.0654044821858406,0.058652520179748535,0.12927491962909698,0.10226629674434662,35.0,0,malecns,right
0.05,0.0,0.0,0.0,25.0,-35.0,5.739170477266787,-0.1949036568403244,0.4225628674030304,0.04393693362340741,1.0132789611816406e-06,0.06496788561344147,0.0,0.166319340467453,0.0013592311879619956,-35.0,0,malecns,left
0.1,0.12912251986563206,0.10285084275528789,0.0696035623550415,24.835238294049926,-30.988503612838855,5.777374365698498,-0.19653412699699402,0.421665221452713,0.044851206648122525,1.7881393432617188e-06,0.06551137566566467,0.0,0.16248764097690582,0.005182017106562853,-35.0,0,malecns,left
0.15000000000000002,0.3951928857713938,0.06636480567976832,0.12866222858428955,24.63881418116435,-28.028896093994547,5.823591038995529,-0.1363796778023243,0.4155150353908539,0.04596606957298845,2.1457672119140625e-06,0.045459892600774765,0.0,0.11854613572359085,0.005182017106562853,-35.0,0,malecns,left
0.2,0.6848474685102701,0.12053450522944331,0.23005080223083496,24.37164431939128,-22.510426474700125,5.887655550526844,-0.15095095708966255,0.4197835326194763,0.04752708404943763,2.9206275939941406e-06,0.06661519408226013,0.016298208385705948,0.14668945968151093,0.027020564302802086,-35.0,0,malecns,left
0.25,0.9345018211752176,0.13387755630537868,0.24654662609100342,24.161473721833225,-21.88498607558239,5.939053227123263,-0.15095095708966255,0.4197835326194763,0.048792229262379395,3.7550926208496094e-06,0.06661519408226013,0.016298208385705948,0.14668945968151093,0.027020564302802086,-35.0,0,malecns,left
0.3,1.2229333464056253,0.36241678474470973,0.3710397481918335,23.79379767849942,-14.715248388379166,6.03116489349073,-0.07684247754514217,0.41979148983955383,0.05108702592446909,3.993511199951172e-06,0.04518180340528488,0.019567644223570824,0.09515703469514847,0.03728298097848892,-35.0,0,malecns,left
0.35,1.3926728311926126,0.4027959811501205,0.4203300476074219,23.632806185683577,-12.053632487647604,6.07240441391139,-0.08535659685730934,0.4283730089664459,0.05212551216466443,5.125999450683594e-06,0.06072414666414261,0.03227194771170616,0.12465854734182358,0.05942447856068611,-35.0,0,malecns,left
0.39999999999999997,1.6810552421957254,0.5864146458916366,0.4187889099121094,23.291632742535093,-12.195487832217509,6.161694346362427,-0.08535659685730934,0.4283730089664459,0.05439657466514628,6.318092346191406e-06,0.06072414666414261,0.03227194771170616,0.12465854734182358,0.05942447856068611,-35.0,0,malecns,left
0.44999999999999996,1.9014372173696756,0.7207272159866989,0.5158988237380981,23.034474046965826,-6.685551923598382,6.230754923239956,-0.040981728583574295,0.4308490455150604,0.05617355098681159,7.867813110351562e-06,0.054654743522405624,0.04099416732788086,0.11134575307369232,0.07558558136224747,-35.0,0,malecns,left
